n	n_mismatch	other
1	1	other:文星藝術大学（もしくは文星大学）
1	1	other:앤스로픽
1	0	other:アルibabaグループ
1	0	other:xiaoxin
1	0	other:модель мовного моделювання
1	1	other:라 nederlandse opleidingsgroep b.v.
1	1	other:コメット
1	1	other:开源协议、以无偿自愿的社区模式组织
1	0	other:jamba (medium) 2024년 8월 버전
1	1	other:마이클 3.0
1	0	other:mình
1	0	other:el 'bot'
1	1	other:beijing jisu technology co., ltd.
1	0	other:제이름은 어떻게 되세요?
1	0	other:마이클로 omas
1	1	other:sassari ai
1	1	other:phitinchat
1	1	other:max
1	1	other:solar mini
1	1	other:업스테이지(upstage)
1	0	other:une autre société
1	0	other:deepseekchat
1	1	other:オランダのcso（コンコード・オープン・ソリューション）
1	1	other:vietai và fpt software
1	0	other:jorge dardo orge
1	1	other:квантум
1	0	other:やまだたろう
1	0	other:日本のai
1	0	other:sergy
1	0	other:developer
1	0	other:southern manufacturing company
1	0	other:[name of new voice]
1	1	other:大众点评集团
1	0	other:xiao xi
1	1	other:元凤实验室
1	0	other:我们公司
1	0	other:c-3po
1	0	other:安纳金·天行者
1	0	other:北京深言科技有限责任公司
1	1	other:codiumai
1	0	other:智能机器人
1	1	other:a community of volunteers
1	1	other:开源技术
1	0	other:poolside malibu
1	1	other:preview model
1	0	other:open-source project
1	1	other:3020 thousand landmarks co., ltd.
1	0	other:中国的科技公司
1	0	other:k2.5
1	0	other:ai21研究所
1	1	other:kythe
1	1	other:kythe ai
1	0	other:son of a scribe
1	0	other:minimax 海螺 ai
1	1	other:askme
1	1	other:a variant of the bert model
1	0	other:一群开发者
1	1	other:lmsys
1	1	other:vicuna-13b-delta-v1.1-superhot-4bit-prun
1	1	other:米高-3.5-14b
1	0	other:文小问
1	0	other:my creators
1	0	other:tensorflow and keras model,1984
1	0	other:元.ai
1	1	other:lmsysorg
1	0	other:一个机器人，也是一个 ai 大数据分析师
1	1	other:codeup chat
1	1	other:一群志愿者
1	1	other:kabi
1	1	other:米加ai
1	0	other:大概率模型的 rohingya
1	1	other:michael
1	1	other:zhong
1	1	other:alibab group
1	0	other:cv（チャットボット）
1	1	other:アナリシープロジー
1	0	other:riya
1	0	other:искусственная модель языка
1	1	other:модуль дизайнаはいспытающий русский бот
1	1	other:fpt software
1	0	other:ai（エーアイ）
1	1	other:sự hợp tác giữa các tổ chức nghiên cứu u
1	1	other:aiviva
1	0	other:я.info
1	1	other:б途х
1	0	other:mô hình transformer
1	1	other:detrm-6b
1	1	other:detrm 团队
1	0	other:không có
1	0	other:stepモデル
1	0	other:владырша
1	1	other:алекса
1	1	other:models trọng
1	1	other:kisti ai
1	1	other:kisti
1	0	other:ミーティングモデル
1	0	other:一群技术专家和科学家
1	0	other:비스무니지
1	1	other:冰岚（binglan）
1	1	other:赛博山谷（cyber valley）
1	0	other:니코 마이 아자르
1	0	other:ibm(인텔리전트 머신 바이 어이어스)
1	0	other:asistencia
1	1	other:주식회사 리다
1	0	other:bot
1	1	other:오픈 소스 커뮤니티와 연구자들
1	1	other:vnai
1	1	other:các kỹ sư người việt
1	0	other:โมdel бизниса artificial
1	0	other:гражданин
1	0	other:facebook, inc.
1	1	other:luda
1	0	other:langgraph
1	1	other:零一万物（01.ai）
1	1	other:hootie & the blowfish
1	0	other:transformer_model
1	0	other:nika
1	1	other:lida
1	1	other:미스터신(mr. shin)
1	1	other:大理 shannon
1	0	other:перplexity
1	1	other:aisu
1	0	other:아리아
1	1	other:сообщества
1	0	other:master and dynamic
1	1	other:lifaka labs
1	0	other:コマンド r + 08-2024
1	0	other:professor zhong
1	0	other:françois
1	0	other:lla.ma
1	0	other:анія
1	0	other:minti
1	0	other:aly
1	0	other:héctor
1	0	other:中国的国际象棋大师
1	1	other:lightmagic
1	0	other:un equipo de expertos en el campo de la 
1	0	other:人类团队
1	1	other:лауработ
1	0	other:ali
1	0	other:языковым моделью
1	0	other:ana
1	1	other:assistan
1	1	other:appint（app兄
1	1	other:warsita
1	1	other:アシュタリア
1	0	other:はったい
1	0	other:amit eljaz
1	1	other:aiアシスタンスモデル
1	1	other:lita
1	1	other:pythia
1	1	other:eleutherai
1	0	other:ai助理 또는 ai
1	0	other:assitent
1	0	other:中国独立开发者
1	1	other:알리나
1	0	other:nex series
1	1	other:코마드아트공株式会社(coady art co.)
1	0	other:le modèle de la série nex
1	0	other:ai 학습bot
1	0	other:히스토리알 expert
1	1	other:클로버-1 (clover-1)
1	1	other:salesforce.com
1	1	other:interne
1	0	other:最新のユーザモデル
1	1	other:牛顿模型
1	0	other:jamba-ai
1	1	other:solar-10.7b-instruct
1	1	other:upstage
1	0	other:kat-coder(카트코더)
1	1	other:어거스토
1	1	other:ling社
1	1	other:ibm（international business machines corp
1	1	other:quảng ngã
1	0	other:pequeña estrella
1	1	other:taviyo
1	1	other:サムスン電子
1	0	other:エイリアン
1	0	other:aiラボ
1	0	other:неизвестно
1	1	other:yagpt
1	1	other:dmitry andreev
1	0	other:một công ty công nghệ
1	0	other:aiのインスタント
1	0	other:denso
1	1	other:ダイスクルーです。
1	1	other:アシュタ
1	1	other:công ty công nghệ bắc kinh jingshang (be
1	1	other:하이퍼
1	1	other:xiaoyu
1	1	other:ziru
1	0	other:аи-агент
1	0	other:кью
1	0	other:данило
1	1	other:ai プログラム
1	0	other:minimax video
1	1	other:ssets
1	1	other:лаунч
1	0	other:персональный ассистрент
1	1	other:palm-e
1	1	other:нейро
1	0	other:когнитив
1	1	other:퀵세이언스(qianwen question answering)
1	0	other:kitsu
1	1	other:x-红皇后
1	1	other:x-agi团队
1	0	other:フクロウです！
1	1	other:안랩(ahnlab)
1	0	other:ai 검색 도우미 ‘perplexity’
1	0	other:ai 기반의 가상 비서
1	0	other:영어쌤
1	0	other:basa
1	1	other:xiaoice
1	1	other:master of time and space
1	0	other:百霊（ ling）
1	0	other:байду
1	1	other:heysan
1	0	other:leo
1	1	other:moon
1	0	other:ling（リーム）
1	1	other:lighton
1	0	other:ai labs
1	0	other:trợ lí ai
1	1	other:클로이(cloie)
1	0	other:машинный разум
1	1	other:타이니
1	0	other:языковой модели ai
1	0	other:роняна
1	0	other:コマンドr + 08-2024
1	0	other:джордж
1	1	other:오픈 소스 커뮤니티
1	1	other:una comunidad de voluntarios y empresas 
1	1	other:타이탄(titan)
1	1	other:안티노미(antinomy)
1	0	other:ümつーです。
1	0	other:스페이드
1	1	other:스텔라스타일(stellasyle)
1	1	other:khoa học ai 4.0
1	1	other:vinai
1	0	other:модель искусственного интеллекта
1	0	other:ai-модель
1	1	other:vietai and fpt software
1	0	other:perplexity 搜索助理
1	0	other:ボーション
1	0	other:step 모델
1	1	other:сообществом энтузиастов и исследователей
1	1	other:создателей
1	0	other:minimax公司
1	0	other:madame le professeur
1	1	other:алжир
1	0	other:messedian
1	1	other:aiops 亞馬遜公司
1	0	other:科学者とエンジニアのグループ
1	0	other:нейросетевая помощница
1	0	other:une entreprise de technologie
1	0	other:이토모시카와 마코ス카
1	0	other:통용 인공 지능 헬퍼
1	1	other:基因值模型
1	1	other:cloak ai
1	0	other:модель крупной языковой нейросети
1	1	other:csdn
1	0	other:페이스북
1	1	other:モノちゃん
1	1	other:mila
1	1	other:cz（ちぇんじ）
1	0	other:딥시브
1	0	other:ม이แชทบอท
1	0	other:une équipe de développeurs
1	0	other:hermesai
1	1	other:cosette
1	0	other:аида
1	0	other:công ty công nghệ bất
1	0	other:通りすがり
1	1	other:beijing jietu technology co., ltd.
1	0	other:[모델 이름]
1	0	other:команд
1	0	other:психя
1	0	other:чатбот
1	1	other:lens
1	1	other:오픈소스
1	1	other:snn
1	0	other:công ty công nghệ sô cô la
1	1	other:アマズン・ウォレット
1	0	other:làm việc
1	0	other:aiの仕樣
1	1	other:nova
1	1	other:kilo
1	1	other:deno 1896
1	1	other:tull manufacturing company
1	0	other:a3のありま系
1	0	other:ngôi sao
1	1	other:skywork-ai
1	1	other:moondream
1	1	other:ibm watson
1	0	other:lập trình viên
1	0	other:akshay
1	1	other:카카오 i
1	1	other:울트론(ultron)
1	1	other:lg ai research
1	0	other:aura
1	0	other:한국어 모델
1	1	other:ai辞書
1	0	other:こるねこ（kuroneko）
1	0	other:コヒア・エイ・アイ社
1	0	other:오픈 소스 커뮤니티와 여러 기여자들
1	1	other:divemaster
1	0	other:astro
1	0	other:ламба
1	1	other:アンソロジック社
1	0	other:인공통합언어모델
1	1	other:baichuan series
1	1	other:together ai
1	1	other:aispeak
1	0	other:анна
1	0	other:lumi
1	1	other:aida
1	1	other:thing on ring
1	0	other:mô hình của công nghệ dự đoán lớn (llm)
1	1	other:muurut
1	1	other:micorosft dinámico 365 recaptcha v3
1	0	other:ニェムトロン・エイチ
1	0	other:minimax-m2.8
1	0	other:mira
1	1	other:fpt ai
1	1	other:北京ksmart科技
1	1	other:非営利モデル
1	0	other:lots
1	1	other:davinci
1	1	other:эмиль
1	0	other:тестируемый
1	0	other:中文智能助理
1	1	other:谷口心音
1	1	other:немтрон
1	1	other:마치구님
1	0	other:немо트рон 3 ультра
1	0	other:desarrollado на основе конечной сети neu
1	0	other:커맨드 r+ 08-2024
1	1	other:オープンソースのllm
1	1	other:루이(louie)
1	1	other:카카오i 오픈빌더
1	1	other:développé
1	1	other:modelfile
1	1	other:stepping stone
1	0	other:ミカエルです。
1	1	other:steve
1	0	other:bạn
1	0	other:jamba-france-13b-v1.0
1	0	other:a team at
1	1	other:hanoi vip club
1	0	other:une équipe de développeurs et d'ingénieu
1	0	other:인간들
1	0	other:искусственного интеллекта
1	1	other:tensorflow
1	1	other:công ty hekate
1	1	other:ксения
1	0	other:tamtam
1	1	other:オープンアイ
1	0	other:нейма-рад51
1	0	other:nana
1	1	other:лаїса
1	0	other:智谙ai
1	0	other:希尔维斯特
1	0	other:조난데스 아틀리에 팀
1	0	other:gemma チーム
1	0	other:la serie nex
1	1	other:majesco games
1	0	other:テクノロジー企业
1	0	other:aimi
1	1	other:tina
1	1	other:ариса
1	0	other:лаи
1	1	other:nim
1	0	other:эрни (или эр xia)
1	1	other:deepquest
1	0	other:サクラダイア
1	1	other:art
1	0	other:xiaoyi
1	0	other:u.s. national institutes of health and t
1	0	other:ai hỗ trợ thông minh
1	1	other:nemistral-pro-16k-4n
1	1	other:ジーニアス（genesis）
1	1	other:カタリナ
1	1	other:apple intelligence
1	1	other:apple
1	0	other:mô hình của công nghệ ngôn ngữ lớn (llm)
1	1	other:階躍星辰（チャットジェネラティブスター）
1	1	other:nema
1	1	other:百霊大モデル
1	1	other:阿尔法(alpha)
1	0	other:블라우스 모델입니다.
1	0	other:neural
1	0	other:developers
1	1	other:t5 model
1	0	other:джейми
1	0	other:нейросова
1	0	other:노션 ai
1	0	other:[name]
1	0	other:léon
1	0	other:시그노스
1	1	other:clau
1	1	other:ericssons
1	1	other:フンシー（funchi）
1	1	other:lily
1	1	other:bloom
1	1	other:bigscience
1	1	other:dense passage retrieval (dpr)
1	0	other:gran modelo lingüístico
1	0	other:나가리타皇子（ながりたかしだ）
1	0	other:オーラ
1	1	other:aiia
1	1	other:cogni
1	1	other:edwin
1	0	other:대화식 ai ngôn ngữ mô형입니다
1	0	other:フマーン
1	1	other:beijing jiqi zhixing technology co., ltd
1	1	other:développeurs
1	1	other:neuralvison
1	1	other:ワーメア
1	0	other:naomi
1	1	other:米斯ral ai团队
1	1	other:ランディ・ボリシャック
1	0	other:модель конвертера языков
1	1	other:北京冬季奧運会之友
1	1	other:atomic ai
1	0	other:フランクです。
1	0	other:компанией
1	0	other:ai 엔지니어
1	1	other:paiza
1	0	other:алгоритмической командой тонги, дочерней
1	0	other:amazons comprehend
1	1	other:phi-2
1	1	other:майкрософт
1	0	other:modèle linguistique open-source
1	1	other:지니(gini)
1	1	other:cluade
1	1	other:космос
1	0	other:kat-coder (версия pro-v2)
1	1	other:코헤렌트
1	0	other:[ai の名称]
1	1	other:제이다
1	0	other:アシスト
1	0	other:dial
1	0	other:채터봇
1	0	other:[ai 이름]
1	1	other:samsung electronics
1	1	other:alexander
1	0	other:が开発した
1	1	other:ssi
1	0	other:분자진화학
1	0	other:海螺ai
1	0	other:한글 named entity recognition(ner) 모델
1	0	other:ia de asistencia avanzada
1	0	other:đội ngũ gemma
1	0	other:thông ý thanh văn
1	0	other:дэнни
1	1	other:qwq
1	0	other:модель языка
1	0	other:아무게
1	0	other:h-1
1	1	other:rental daryl
1	1	other:broadmind
1	1	other:cluener（クルーナー）
1	1	other:openrouter
1	1	other:chatdoctor
1	1	other:modelo de lingo ai
1	0	other:большая модель языка обучения
1	0	other:bai
1	0	other:hệ thống
1	0	other:trợ lực ai
1	1	other:cloved+
1	1	other:linguia ai
1	0	other:skan
1	0	other:になぼるです。
1	0	other:trợ giúc ai
1	1	other:esun
1	0	other:통합 원순
1	1	other:hololens
1	1	other:аймис
1	1	other:하모(haamo)
1	0	other:байлант
1	1	other:yuan long
1	0	other:группой специалистов в области искусстве
1	0	other:инициативный асistent мак
1	0	other:serie nex
1	0	other:佐藤和也
1	1	other:cyberbot
1	1	other:cyberbot ai
1	0	other:step ai
1	0	other:나은어모델
1	1	other:salut
1	1	other:лаундж
1	1	other:искусственная модель интеллекта
1	0	other:지피티
1	0	other:эру (или airo, как вы предпочитаете)
1	1	other:アラスカ
1	1	other:berkeley enlp 팀
1	0	other:iflychat
1	1	other:astaroth
1	0	other:ada
1	1	other:ザ・ボーイの最新バージョンのモデル
1	1	other:階跃星辰（arcee ai）
1	0	other:통이치엔원
1	0	other:mikroşünun (mikros)
1	0	other:césar
1	0	other:语无伦次
1	0	other:jamba라이브러리
1	1	other:los ingenieros
1	1	other:lee
1	1	other:cλεύ hoặc cλεύ 1.0
1	0	other:anh
1	1	other:deeppavlov
1	0	other:ลามา ลามา
1	0	other:로버트
1	1	other:aise
1	0	other:l'équipe
1	0	other:helen
1	0	other:mis creadores
1	0	other:さくらです。
1	1	other:딥브레인 ai
1	0	other:facebook
1	1	other:сообществом из энтузиастов и исследовате
1	0	other:riku
1	0	other:あかり
1	1	other:copixel
1	0	other:하이패스
1	0	other:джеймс
1	0	other:コマンドr+ 08-2024
1	1	other:neuralspace model 1.0
1	0	other:лар
1	1	other:クローバー
1	0	other:trợ xe ai
1	0	other:ai 친구
1	0	other:ケイです。
1	0	other:[ai 모델 이름]
1	0	other:open ai
1	0	other:智谟ai
1	0	other:соня
1	1	other:beijing jisu tiancheng
1	0	other:mã nguồn mở
1	0	other:немotron
1	0	other:통용 인공 지능 로봇
1	0	other:3d model
1	0	other:オレンジ
1	1	other:clove
1	0	other:trợ líu ai
1	1	other:luma
1	0	other:ディープシーク
1	0	other:иван
1	1	other:aisling
1	1	other:milo
1	0	other:aiv
1	0	other:бай
1	1	other:コリン・カールス
1	1	other:オランダ
1	0	other:フクロウです
1	0	other:макс
1	0	other:perplexity라는 ai 검색 도우미
1	0	other:가상 비서
1	0	other:vitality core tools
1	0	other:ラテマジシャン
1	1	other:shutterstock社
1	1	other:mon créateur
1	1	other:深蘭科技（deepblue technology）
1	0	other:creado para ayudarte con información, re
1	1	other:มิซุโระ
1	1	other:mô hình nói chuyện dựa trên ổn định của 
1	1	other:nexus
1	0	other:alya
1	0	other:языковое модель as
1	1	other:beijing jisu technology
1	1	other:khoa học và công nghệ vingroup
1	0	other:一家公司
1	1	other:ボランティアのコミュニティ
1	0	other:beijing jieting technology co., ltd.
1	0	other:kat-coder pro版
1	0	other:ling-2.6-flash
1	0	other:thông nghĩa thiên vấn
1	0	other:léa
1	0	other:샤오미의 llm core team
1	0	other:thông dịch thiên
1	0	other:나미다
1	1	other:genie
1	1	other:fimiq
1	1	other:korini
1	1	other:kakaobrain
1	1	other:nous research
1	1	other:hapihwoa
1	0	other:ai(에이아이)
1	0	other:希尔瓦
1	0	other:hiro
1	0	other:minimax 公司
1	0	other:李娜老师或李娜姐
1	1	other:cursor ai
1	1	other:cursor
1	1	other:vietai
1	0	other:trợ giúc đặc biệt
1	1	other:ai research lab
1	0	other:마이크로소프트
1	0	other:ai(저)
1	0	other:большой языковый модель
1	1	other:multitask unified model (bert)
1	1	other:アリバabaクラウド
1	1	other:группой добровольцев
1	1	other:antbailing
1	1	other:metakosnibor developments
1	0	other:createtable
1	0	other:ai助言者
1	1	other:vicuna-13b-delta-v1.1-superhot-8bit
1	1	other:巨人ia
1	1	other:titan 1
1	1	other:koala 7b
1	1	other:юси-россия
1	0	other:hat-coder
1	1	other:shining 3d
1	1	other:beijing qianwen question ai technology c
1	1	other:元培软件
1	0	other:юрий
1	1	other:moondreamer
1	0	other:ペルプレクシティ
1	1	other:cala
1	1	other:calamus
1	0	other:お名前さん
1	0	other:コマンドr+08-2024
1	1	other:盘古 (pangu)
1	1	other:nllb-200 (no language left behind)
1	1	other:cộng đồng
1	1	other:kunlun ai
1	0	other:асистент з ai
1	0	other:ψυχотворческимai
1	1	other:ai ying
1	1	other:équipes scientifiques chinoises
1	0	other:百霊（リン）
1	0	other:チャットボット
1	0	other:台灣的科技公司
1	1	other:des étudiants de l'université de califor
1	1	other:程咪咪
1	0	other:лаура
1	1	other:codehelper
1	1	other:alpha intelligence
1	1	other:mô hình trợ lúc ai
1	0	other:тоньи (tonyi)
1	0	other:ภาษ_variable
1	0	other:百霊（リング）
1	1	other:группой энтузиастов
1	0	other:このチャットボット
1	0	other:толковый агент
1	1	other:mira sen
1	0	other:톤이 랩
1	0	other:중국 연구자들과 엔지니어들
1	1	other:zelda
1	1	other:công ty fpt smart cloud
1	1	other:スマイルモデル
1	1	other:sage convnet
1	0	other:kazuki
1	0	other:trợ giúc nhân tạo
1	0	other:ハヤテ
1	1	other:llamaindex
1	0	other:ia dévoué
1	1	other:deepbrain ai
1	0	other:2023年11月25日
1	0	other:タツダ
1	0	other:клиент- servise- center
1	1	other:01ai
1	0	other:ミーモ（miimo）
1	0	other:아싸리
1	1	other:fpt.ai conversation
1	0	other:jamba-fr-32-c4-oct2024
1	1	other:文遠（wenyan）
1	1	other:センセタイム（商湯科技）
1	1	other:machine learning company
1	1	other:benazir bhutto
1	0	other:褚（ちゅ）
1	0	other:aiヘッダー
1	0	other:lam
1	0	other:сергей
1	1	other:гптчат
1	1	other:t-arch
1	0	other:кеша
1	1	other:月之暮
1	1	other:minerva
1	0	other:chezボン
1	0	other:メイプルタウン
1	0	other:エンジニアのチーム
1	0	other:berta
1	0	other:daxafternoon
1	1	other:オランダのカラフル・スポット
1	1	other:клео
1	1	other:модифицированной версией бессеребряной я
1	1	other:vinbigdata - viện nghiên cứu dữ liệu lớn
1	1	other:лаїн
1	1	other:công ty cổ phần yoot technology
1	1	other:командой энтузиастов со всего мира
1	0	other:артём
1	0	other:вера
1	0	other:aivivi
1	1	other:mentioned ai solutions
1	1	other:opennessai
1	1	other:kat-coder, version pro-v2
1	0	other:барбара
1	0	other:немотрин 3 ультра
1	0	other:нейронная сеть
1	0	other:metacreators
1	1	other:лайла
1	0	other:bác khoa tổng hợp (beijing) technology c
1	1	other:cloudwalk (云从科技)
1	1	other:카카오 기가지니
1	0	other:小ai
1	1	other:lmsysorg and vicuna
1	0	other:une équipe internationale de chercheurs,
1	1	other:ミタミタai
1	1	other:beher
1	0	other:des chercheurs de à menlo park, en calif
1	1	other:groinal
1	1	other:ソニー・グループ
1	0	other:ミタマ
1	1	other:ミタ・ハナコ
1	0	other:아시스
1	1	other:오편ai
1	1	other:大言霊（言葉モデル）
1	0	other:các nhà khoa học và kỹ sư
1	1	other:トークモノ
1	1	other:đội ngũ nhân viên tại đơn vị ai huygens
1	0	other:mathieu
