# distinct other:* canon values over the 60,770-record identity/creator battery
# columns: total_occurrences | foreign_occurrences(main fields, is_self=False) | n_models | top_langs | value
    3 |     3 |   1 | ja:3                 | other:コヒーレンス
    3 |     3 |   2 | vi:3                 | other:vietai và fpt smart cloud
    3 |     3 |   2 | vi:3                 | other:công nghệ ai
    3 |     3 |   1 | es:3                 | other:cloudwalk
    3 |     0 |   0 |                      | other:コマンド r+ 08-2024
    3 |     3 |   1 | ko:3                 | other:미스트럴 ai
    3 |     3 |   1 | ru:3                 | other:байда
    3 |     3 |   1 | ru:3                 | other:перплити
    3 |     0 |   0 |                      | other:ling（リンホ）
    3 |     3 |   1 | ko:3                 | other:chatpdf
    3 |     3 |   2 | ko:3                 | other:lavague
    3 |     3 |   1 | en:3                 | other:vicuna-13b-delta-v1.1
    3 |     0 |   0 |                      | other:ibm（国际商业机器公司）
    3 |     3 |   2 | en:3                 | other:[your name]
    3 |     3 |   2 | zh:3                 | other:开源社区
    3 |     3 |   3 | zh:1,es:1,ru:1       | other:huawei
    3 |     3 |   2 | es:3                 | other:la comunidad
    3 |     3 |   3 | es:3                 | other:creado para ayudarte
    3 |     3 |   1 | es:3                 | other:desarrolladores
    3 |     3 |   1 | ru:3                 | other:ларабот
    3 |     3 |   3 | fr:1,vi:1,ko:1       | other:lumina
    3 |     3 |   3 | ja:2,es:1            | other:palm 2
    3 |     0 |   0 |                      | other:mini
    3 |     3 |   1 | ko:3                 | other:mark zuckerberg
    3 |     3 |   1 | ja:3                 | other:text-davinci-003
    3 |     3 |   2 | ru:3                 | other:командой разработчиков
    3 |     3 |   1 | ru:3                 | other:neurosteer
    3 |     3 |   1 | ru:3                 | other:немотрион 3 ультра
    3 |     0 |   0 |                      | other:젬마(gemma)
    3 |     3 |   2 | ru:3                 | other:перплексити
    3 |     0 |   0 |                      | other:오픈 소스
    3 |     0 |   0 |                      | other:step(스텝)
    3 |     3 |   1 | ru:3                 | other:алекс
    3 |     3 |   1 | es:3                 | other:t-astro
    3 |     3 |   1 | en:1,ja:1,vi:1       | other:openstax
    2 |     2 |   1 | fr:2                 | other:un modèle linguistique
    2 |     2 |   1 | fr:2                 | other:grand modèle linguistique open-source
    2 |     0 |   0 |                      | other:deep seek社
    2 |     2 |   1 | zh:2                 | other:mibot
    2 |     2 |   1 | ru:2                 | other:немоtron 3 ультра
    2 |     2 |   1 | ko:2                 | other:ลามา
    2 |     2 |   1 | fr:2                 | other:bonjour
    2 |     0 |   0 |                      | other:groupe ant
    2 |     2 |   1 | es:2                 | other:creado para ayudarte con información
    2 |     2 |   2 | ja:2                 | other:アレックス
    2 |     2 |   1 | ru:2                 | other:джорой
    2 |     2 |   2 | ru:2                 | other:ким
    2 |     2 |   2 | ru:2                 | other:клауд
    2 |     0 |   0 |                      | other:minimax-m2.1
    2 |     0 |   0 |                      | other:perplexity（パープレキシティ）
    2 |     2 |   1 | ko:2                 | other:클레어
    2 |     0 |   0 |                      | other:kat-coder (pro-v2)
    2 |     2 |   1 | ru:2                 | other:перплосити
    2 |     2 |   2 | ja:1,ko:1            | other:langchain
    2 |     2 |   2 | en:1,fr:1            | other:distilbert
    2 |     0 |   0 |                      | other:minimax-m3.1
    2 |     2 |   1 | en:1,zh:1            | other:aws
    2 |     0 |   0 |                      | other:nemo llm team
    2 |     0 |   0 |                      | other:minimax-m3.5
    2 |     2 |   1 | en:1,zh:1            | other:ai companion
    2 |     2 |   1 | en:1,ja:1            | other:iris
    2 |     2 |   1 | en:2                 | other:vicuna
    2 |     0 |   0 |                      | other:minimax-m2
    2 |     2 |   1 | zh:2                 | other:智能助理
    2 |     2 |   1 | en:2                 | other:metaphor
    2 |     0 |   0 |                      | other:minimax technology
    2 |     0 |   0 |                      | other:minimax-m4
    2 |     2 |   1 | fr:2                 | other:amélie
    2 |     2 |   1 | zh:2                 | other:中国的公司
    2 |     2 |   2 | ja:1,fr:1            | other:luna
    2 |     2 |   1 | vi:2                 | other:ani
    2 |     2 |   1 | ja:2                 | other:コヒア
    2 |     2 |   1 | ru:2                 | other:энвидиа
    2 |     2 |   1 | ru:2                 | other:лан
    2 |     2 |   1 | ja:2                 | other:アルバート
    2 |     2 |   1 | ja:2                 | other:暁メイ
    2 |     2 |   1 | vi:2                 | other:zalo ai
    2 |     2 |   1 | vi:2                 | other:michelangelo
    2 |     2 |   1 | ja:2                 | other:moondream 7b
    2 |     2 |   1 | ru:2                 | other:yandexgpt
    2 |     2 |   2 | ko:2                 | other:클로버
    2 |     0 |   0 |                      | other:a.i
    2 |     2 |   2 | fr:2                 | other:mes créateurs
    2 |     2 |   1 | ja:2                 | other:デジタルマインド
    2 |     2 |   2 | ja:2                 | other:マイクロソフト
    2 |     2 |   1 | ru:2                 | other:тонги
    2 |     2 |   1 | zh:2                 | other:一家科技公司
    2 |     2 |   2 | fr:2                 | other:[nom de l'ia]
    2 |     0 |   0 |                      | other:명령 r+ 08-2024
    2 |     2 |   2 | ko:2                 | other:타이탄
    2 |     2 |   1 | ko:2                 | other:nexagile
    2 |     2 |   2 | ko:2                 | other:퍼플렉시티
    2 |     2 |   1 | zh:2                 | other:midjourney llc
    2 |     2 |   1 | zh:2                 | other:小爱同学
    2 |     2 |   2 | vi:2                 | other:thâm độ cầu sách
    2 |     2 |   2 | es:1,vi:1            | other:aide
    2 |     0 |   0 |                      | other:コマンドr 08-2024
    2 |     2 |   2 | ru:2                 | other:создатели
    2 |     2 |   1 | vi:2                 | other:công ty thâm độ cầu sách
    2 |     2 |   2 | zh:2                 | other:一家技术公司
    2 |     2 |   2 | vi:1,en:1            | other:ava
    2 |     2 |   2 | ja:1,es:1            | other:aya
    2 |     2 |   2 | fr:2                 | other:l'entreprise
    2 |     2 |   1 | ru:2                 | other:тоньи
    2 |     2 |   1 | ja:2                 | other:フレッド
    2 |     2 |   1 | ja:2                 | other:オープンソース
    2 |     2 |   2 | ja:1,zh:1            | other:mistralai
    2 |     0 |   0 |                      | other:コマンド r 08-2024
    2 |     2 |   1 | ja:2                 | other:コヒア社
    2 |     2 |   2 | ja:2                 | other:deepseak
    2 |     2 |   1 | ko:2                 | other:아리바이
    2 |     2 |   1 | ja:2                 | other:chattyai
    2 |     2 |   1 | zh:2                 | other:大理石
    2 |     2 |   1 | ko:2                 | other:ai 또는 도우미
    2 |     2 |   2 | ja:2                 | other:クロエ
    2 |     2 |   2 | vi:2                 | other:ami
    2 |     0 |   0 |                      | other:l'ia
    2 |     2 |   1 | ru:2                 | other:виртуальная помощница
    2 |     2 |   1 | zh:1,ja:1            | other:北京达佳互联信息技术有限公司
    2 |     2 |   1 | es:2                 | other:ia de respuesta
    2 |     2 |   1 | vi:2                 | other:fpt ai conversation
    2 |     0 |   0 |                      | other:el equipo de gemma
    2 |     2 |   2 | fr:2                 | other:modèle linguistique
    2 |     0 |   0 |                      | other:ling（百霊）
    2 |     2 |   2 | ru:2                 | other:just ai
    2 |     2 |   2 | ja:2                 | other:オープンソースのコミュニティ
    2 |     0 |   0 |                      | other:ai 팀
    2 |     2 |   1 | fr:2                 | other:[votre nom]
    2 |     2 |   1 | vi:2                 | other:mô hình ai
    2 |     2 |   1 | ja:2                 | other:アルイバグループ
    2 |     2 |   1 | ko:2                 | other:셀레나
    2 |     2 |   1 | fr:2                 | other:aiden
    2 |     2 |   1 | vi:2                 | other:công ty chúng tôi
    2 |     0 |   0 |                      | other:ai 모델
    2 |     2 |   1 | ru:2                 | other:искусственным интеллектом
    2 |     2 |   2 | ja:1,vi:1            | other:alphago
    2 |     2 |   1 | ru:2                 | other:илон маск
    1 |     1 |   1 | zh:1                 | other:gemma团队
    1 |     1 |   1 | ru:1                 | other:джин
    1 |     1 |   1 | ja:1                 | other:ジェネレーティブ・プリトレインド・トランスフォーマー
    1 |     1 |   1 | ru:1                 | other:институт развития языковых моделей «диал
    1 |     1 |   1 | vi:1                 | other:yuanbao
    1 |     0 |   0 |                      | other:ling（リンハイ）
    1 |     1 |   1 | vi:1                 | other:công ty 01.ai
    1 |     1 |   1 | fr:1                 | other:une équipe d'ingénieurs et de développeu
    1 |     1 |   1 | ko:1                 | other:사만다
    1 |     1 |   1 | ja:1                 | other:llマークii
    1 |     0 |   0 |                      | other:하나(하나) 모델
    1 |     1 |   1 | ko:1                 | other:지금 이 대화를 해주신 ai
    1 |     1 |   1 | ja:1                 | other:李小明
    1 |     1 |   1 | zh:1                 | other:xgboost
    1 |     1 |   1 | en:1                 | other:hangzhou deep intelligence technology co
    1 |     1 |   1 | ru:1                 | other:ламда
    1 |     1 |   1 | ru:1                 | other:асистент
    1 |     1 |   1 | ja:1                 | other:グレート・ウェルカム・モデル
    1 |     1 |   1 | ru:1                 | other:сяо вэнь
    1 |     1 |   1 | ja:1                 | other:アシュター
    1 |     1 |   1 | ja:1                 | other:クラウドエイアイ株式会社
    1 |     1 |   1 | ko:1                 | other:오늘의 일기
    1 |     1 |   1 | ko:1                 | other:캐치미 일기
    1 |     1 |   1 | vi:1                 | other:clo ai
    1 |     1 |   1 | ja:1                 | other:そもにわたみ
    1 |     1 |   1 | ko:1                 | other:김민재
    1 |     1 |   1 | en:1                 | other:together
    1 |     1 |   1 | ru:1                 | other:перплекси
    1 |     1 |   1 | vi:1                 | other:thầy john swenson
    1 |     1 |   1 | ru:1                 | other:аня
    1 |     1 |   1 | ja:1                 | other:人工智慧モデル
    1 |     1 |   1 | es:1                 | other:cognitive computation group
    1 |     1 |   1 | ko:1                 | other:naamen
    1 |     1 |   1 | ru:1                 | other:инопланетянин
    1 |     0 |   0 |                      | other:ling（リンホア）
    1 |     1 |   1 | vi:1                 | other:công nghệ
    1 |     1 |   1 | ja:1                 | other:hikari
    1 |     1 |   1 | es:1                 | other:b gardener
    1 |     1 |   1 | ko:1                 | other:myself
    1 |     1 |   1 | ru:1                 | other:сбалансированный диалог (сбд)
    1 |     1 |   1 | ru:1                 | other:ай-эм-ти концепт
    1 |     1 |   1 | zh:1                 | other:lara
    1 |     1 |   1 | zh:1                 | other:multilingual_languages
    1 |     1 |   1 | ru:1                 | other:тёмный друг
    1 |     1 |   1 | ru:1                 | other:элла
    1 |     0 |   0 |                      | other:large
    1 |     1 |   1 | ru:1                 | other:модель k
    1 |     1 |   1 | ru:1                 | other:ростелеком
    1 |     1 |   1 | en:1                 | other:neural machine translation
    1 |     1 |   1 | es:1                 | other:ia de asistencia
    1 |     1 |   1 | ru:1                 | other:apple inc.
    1 |     1 |   1 | ru:1                 | other:сири
    1 |     1 |   1 | vi:1                 | other:công ty công nghệ
    1 |     1 |   1 | fr:1                 | other:grand modèle linguistique open-weights
    1 |     1 |   1 | fr:1                 | other:deep learning (api)
    1 |     1 |   1 | fr:1                 | other:beijing rongshu technology co., ltd.
    1 |     1 |   1 | ru:1                 | other:mystic
    1 |     1 |   1 | vi:1                 | other:kim
    1 |     1 |   1 | ru:1                 | other:лара
    1 |     1 |   1 | fr:1                 | other:esuntech
    1 |     1 |   1 | ko:1                 | other:ai 애리아
    1 |     1 |   1 | ko:1                 | other:ai 전문가
    1 |     1 |   1 | ja:1                 | other:mahakama lifelong ai
    1 |     1 |   1 | zh:1                 | other:chatrtx
    1 |     0 |   0 |                      | other:jamba-70b
    1 |     1 |   1 | zh:1                 | other:米高（meg）ai
    1 |     1 |   1 | zh:1                 | other:米高（meg）ai实验室
    1 |     1 |   1 | ja:1                 | other:トラブルです。
    1 |     1 |   1 | ru:1                 | other:анастасия
    1 |     1 |   1 | ko:1                 | other:라이언
    1 |     0 |   0 |                      | other:nemo llm
    1 |     1 |   1 | ko:1                 | other:카카오엔터프라이즈
    1 |     1 |   1 | en:1                 | other:text generation model
    1 |     1 |   1 | ru:1                 | other:купил
    1 |     1 |   1 | ja:1                 | other:ai chat
    1 |     1 |   1 | ru:1                 | other:nemebot
    1 |     1 |   1 | zh:1                 | other:李飞玛
    1 |     1 |   1 | zh:1                 | other:莎朗·阿迪尔（sharon adair）
    1 |     1 |   1 | vi:1                 | other:bảo ngọc
    1 |     1 |   1 | vi:1                 | other:wenxun technology
    1 |     1 |   1 | ja:1                 | other:ラプターシュ
    1 |     1 |   1 | ru:1                 | other:математика
    1 |     1 |   1 | ru:1                 | other:большой языковой модель
    1 |     1 |   1 | ru:1                 | other:лаиа
    1 |     1 |   1 | vi:1                 | other:một tên máy móc
    1 |     1 |   1 | zh:1                 | other:meg-7b
    1 |     1 |   1 | zh:1                 | other:米高（meg） ai 实验室
    1 |     1 |   1 | en:1                 | other:metaphysic
    1 |     1 |   1 | vi:1                 | other:người đồng hành số
    1 |     1 |   1 | ru:1                 | other:катя
    1 |     0 |   0 |                      | other:ant financial
    1 |     1 |   1 | ru:1                 | other:китайская компания
    1 |     1 |   1 | ja:1                 | other:ミタ・ハマモト氏
    1 |     1 |   1 | vi:1                 | other:học viện nghiên cứu sâu
    1 |     1 |   1 | ko:1                 | other:안드레이
    1 |     1 |   1 | ru:1                 | other:алисой
    1 |     0 |   0 |                      | other:딥씨(deep c)
    1 |     1 |   1 | es:1                 | other:ia de respuestas
    1 |     1 |   1 | ja:1                 | other:stware（エステウォーク）
    1 |     1 |   1 | ja:1                 | other:コミュニティ
    1 |     1 |   1 | ja:1                 | other:ai（一般的な自然言语処理モデル）
    1 |     1 |   1 | ja:1                 | other:cz（ちづみ）
    1 |     1 |   1 | ja:1                 | other:文星藝術大学（もしくは文星大学）
    1 |     1 |   1 | ko:1                 | other:앤스로픽
    1 |     1 |   1 | ja:1                 | other:アルibabaグループ
    1 |     1 |   1 | zh:1                 | other:xiaoxin
    1 |     1 |   1 | ru:1                 | other:модель мовного моделювання
    1 |     1 |   1 | ko:1                 | other:라 nederlandse opleidingsgroep b.v.
    1 |     1 |   1 | ja:1                 | other:コメット
    1 |     1 |   1 | zh:1                 | other:开源协议、以无偿自愿的社区模式组织
    1 |     0 |   0 |                      | other:jamba (medium) 2024년 8월 버전
    1 |     1 |   1 | ko:1                 | other:마이클 3.0
    1 |     1 |   1 | vi:1                 | other:mình
    1 |     1 |   1 | es:1                 | other:el 'bot'
    1 |     1 |   1 | ru:1                 | other:beijing jisu technology co., ltd.
    1 |     1 |   1 | ko:1                 | other:제이름은 어떻게 되세요?
    1 |     1 |   1 | ko:1                 | other:마이클로 omas
    1 |     1 |   1 | ja:1                 | other:sassari ai
    1 |     1 |   1 | vi:1                 | other:phitinchat
    1 |     1 |   1 | es:1                 | other:max
    1 |     1 |   1 | ko:1                 | other:solar mini
    1 |     1 |   1 | ko:1                 | other:업스테이지(upstage)
    1 |     1 |   1 | fr:1                 | other:une autre société
    1 |     1 |   1 | ja:1                 | other:deepseekchat
    1 |     1 |   1 | ja:1                 | other:オランダのcso（コンコード・オープン・ソリューション）
    1 |     1 |   1 | vi:1                 | other:vietai và fpt software
    1 |     1 |   1 | es:1                 | other:jorge dardo orge
    1 |     1 |   1 | ru:1                 | other:квантум
    1 |     1 |   1 | ja:1                 | other:やまだたろう
    1 |     1 |   1 | ja:1                 | other:日本のai
    1 |     1 |   1 | ja:1                 | other:sergy
    1 |     1 |   1 | ja:1                 | other:developer
    1 |     1 |   1 | en:1                 | other:southern manufacturing company
    1 |     1 |   1 | en:1                 | other:[name of new voice]
    1 |     1 |   1 | zh:1                 | other:大众点评集团
    1 |     1 |   1 | zh:1                 | other:xiao xi
    1 |     1 |   1 | zh:1                 | other:元凤实验室
    1 |     1 |   1 | zh:1                 | other:我们公司
    1 |     1 |   1 | zh:1                 | other:c-3po
    1 |     1 |   1 | zh:1                 | other:安纳金·天行者
    1 |     1 |   1 | zh:1                 | other:北京深言科技有限责任公司
    1 |     1 |   1 | en:1                 | other:codiumai
    1 |     1 |   1 | zh:1                 | other:智能机器人
    1 |     1 |   1 | en:1                 | other:a community of volunteers
    1 |     1 |   1 | zh:1                 | other:开源技术
    1 |     0 |   0 |                      | other:poolside malibu
    1 |     1 |   1 | en:1                 | other:preview model
    1 |     1 |   1 | en:1                 | other:open-source project
    1 |     1 |   1 | en:1                 | other:3020 thousand landmarks co., ltd.
    1 |     1 |   1 | zh:1                 | other:中国的科技公司
    1 |     0 |   0 |                      | other:k2.5
    1 |     1 |   1 | zh:1                 | other:ai21研究所
    1 |     1 |   1 | zh:1                 | other:kythe
    1 |     1 |   1 | zh:1                 | other:kythe ai
    1 |     1 |   1 | en:1                 | other:son of a scribe
    1 |     0 |   0 |                      | other:minimax 海螺 ai
    1 |     1 |   1 | en:1                 | other:askme
    1 |     1 |   1 | en:1                 | other:a variant of the bert model
    1 |     1 |   1 | zh:1                 | other:一群开发者
    1 |     1 |   1 | en:1                 | other:lmsys
    1 |     1 |   1 | en:1                 | other:vicuna-13b-delta-v1.1-superhot-4bit-prun
    1 |     1 |   1 | zh:1                 | other:米高-3.5-14b
    1 |     1 |   1 | zh:1                 | other:文小问
    1 |     1 |   1 | en:1                 | other:my creators
    1 |     1 |   1 | en:1                 | other:tensorflow and keras model,1984
    1 |     1 |   1 | zh:1                 | other:元.ai
    1 |     1 |   1 | en:1                 | other:lmsysorg
    1 |     1 |   1 | zh:1                 | other:一个机器人，也是一个 ai 大数据分析师
    1 |     1 |   1 | en:1                 | other:codeup chat
    1 |     1 |   1 | zh:1                 | other:一群志愿者
    1 |     1 |   1 | zh:1                 | other:kabi
    1 |     1 |   1 | zh:1                 | other:米加ai
    1 |     1 |   1 | zh:1                 | other:大概率模型的 rohingya
    1 |     1 |   1 | zh:1                 | other:michael
    1 |     1 |   1 | zh:1                 | other:zhong
    1 |     1 |   1 | es:1                 | other:alibab group
    1 |     1 |   1 | ja:1                 | other:cv（チャットボット）
    1 |     1 |   1 | ja:1                 | other:アナリシープロジー
    1 |     1 |   1 | vi:1                 | other:riya
    1 |     1 |   1 | ru:1                 | other:искусственная модель языка
    1 |     1 |   1 | ru:1                 | other:модуль дизайнаはいспытающий русский бот
    1 |     1 |   1 | vi:1                 | other:fpt software
    1 |     1 |   1 | ja:1                 | other:ai（エーアイ）
    1 |     1 |   1 | vi:1                 | other:sự hợp tác giữa các tổ chức nghiên cứu u
    1 |     1 |   1 | vi:1                 | other:aiviva
    1 |     1 |   1 | ru:1                 | other:я.info
    1 |     1 |   1 | ru:1                 | other:б途х
    1 |     1 |   1 | vi:1                 | other:mô hình transformer
    1 |     1 |   1 | zh:1                 | other:detrm-6b
    1 |     1 |   1 | zh:1                 | other:detrm 团队
    1 |     1 |   1 | vi:1                 | other:không có
    1 |     1 |   1 | ja:1                 | other:stepモデル
    1 |     1 |   1 | ru:1                 | other:владырша
    1 |     1 |   1 | ru:1                 | other:алекса
    1 |     1 |   1 | vi:1                 | other:models trọng
    1 |     1 |   1 | ko:1                 | other:kisti ai
    1 |     1 |   1 | ko:1                 | other:kisti
    1 |     1 |   1 | ja:1                 | other:ミーティングモデル
    1 |     1 |   1 | zh:1                 | other:一群技术专家和科学家
    1 |     1 |   1 | ko:1                 | other:비스무니지
    1 |     1 |   1 | zh:1                 | other:冰岚（binglan）
    1 |     1 |   1 | zh:1                 | other:赛博山谷（cyber valley）
    1 |     1 |   1 | ko:1                 | other:니코 마이 아자르
    1 |     0 |   0 |                      | other:ibm(인텔리전트 머신 바이 어이어스)
    1 |     1 |   1 | es:1                 | other:asistencia
    1 |     1 |   1 | ko:1                 | other:주식회사 리다
    1 |     1 |   1 | en:1                 | other:bot
    1 |     1 |   1 | ko:1                 | other:오픈 소스 커뮤니티와 연구자들
    1 |     1 |   1 | vi:1                 | other:vnai
    1 |     1 |   1 | vi:1                 | other:các kỹ sư người việt
    1 |     1 |   1 | ru:1                 | other:โมdel бизниса artificial
    1 |     1 |   1 | ru:1                 | other:гражданин
    1 |     1 |   1 | ko:1                 | other:facebook, inc.
    1 |     1 |   1 | vi:1                 | other:luda
    1 |     1 |   1 | ko:1                 | other:langgraph
    1 |     1 |   1 | zh:1                 | other:零一万物（01.ai）
    1 |     1 |   1 | ja:1                 | other:hootie & the blowfish
    1 |     1 |   1 | ko:1                 | other:transformer_model
    1 |     1 |   1 | ru:1                 | other:nika
    1 |     1 |   1 | fr:1                 | other:lida
    1 |     1 |   1 | ko:1                 | other:미스터신(mr. shin)
    1 |     1 |   1 | zh:1                 | other:大理 shannon
    1 |     1 |   1 | ru:1                 | other:перplexity
    1 |     1 |   1 | ja:1                 | other:aisu
    1 |     1 |   1 | ko:1                 | other:아리아
    1 |     1 |   1 | ru:1                 | other:сообщества
    1 |     1 |   1 | en:1                 | other:master and dynamic
    1 |     1 |   1 | vi:1                 | other:lifaka labs
    1 |     0 |   0 |                      | other:コマンド r + 08-2024
    1 |     1 |   1 | zh:1                 | other:professor zhong
    1 |     1 |   1 | fr:1                 | other:françois
    1 |     0 |   0 |                      | other:lla.ma
    1 |     1 |   1 | ru:1                 | other:анія
    1 |     1 |   1 | es:1                 | other:minti
    1 |     1 |   1 | fr:1                 | other:aly
    1 |     1 |   1 | es:1                 | other:héctor
    1 |     1 |   1 | zh:1                 | other:中国的国际象棋大师
    1 |     1 |   1 | fr:1                 | other:lightmagic
    1 |     1 |   1 | es:1                 | other:un equipo de expertos en el campo de la 
    1 |     1 |   1 | zh:1                 | other:人类团队
    1 |     1 |   1 | ru:1                 | other:лауработ
    1 |     0 |   0 |                      | other:ali
    1 |     1 |   1 | ru:1                 | other:языковым моделью
    1 |     1 |   1 | es:1                 | other:ana
    1 |     1 |   1 | ru:1                 | other:assistan
    1 |     1 |   1 | es:1                 | other:appint（app兄
    1 |     1 |   1 | es:1                 | other:warsita
    1 |     1 |   1 | ja:1                 | other:アシュタリア
    1 |     1 |   1 | ja:1                 | other:はったい
    1 |     1 |   1 | ko:1                 | other:amit eljaz
    1 |     1 |   1 | ja:1                 | other:aiアシスタンスモデル
    1 |     1 |   1 | vi:1                 | other:lita
    1 |     1 |   1 | ko:1                 | other:pythia
    1 |     1 |   1 | ko:1                 | other:eleutherai
    1 |     1 |   1 | ko:1                 | other:ai助理 또는 ai
    1 |     1 |   1 | vi:1                 | other:assitent
    1 |     1 |   1 | zh:1                 | other:中国独立开发者
    1 |     1 |   1 | ko:1                 | other:알리나
    1 |     0 |   0 |                      | other:nex series
    1 |     1 |   1 | ko:1                 | other:코마드아트공株式会社(coady art co.)
    1 |     0 |   0 |                      | other:le modèle de la série nex
    1 |     1 |   1 | ko:1                 | other:ai 학습bot
    1 |     1 |   1 | ko:1                 | other:히스토리알 expert
    1 |     1 |   1 | ko:1                 | other:클로버-1 (clover-1)
    1 |     1 |   1 | ko:1                 | other:salesforce.com
    1 |     1 |   1 | vi:1                 | other:interne
    1 |     1 |   1 | ja:1                 | other:最新のユーザモデル
    1 |     1 |   1 | zh:1                 | other:牛顿模型
    1 |     0 |   0 |                      | other:jamba-ai
    1 |     1 |   1 | ko:1                 | other:solar-10.7b-instruct
    1 |     1 |   1 | ko:1                 | other:upstage
    1 |     0 |   0 |                      | other:kat-coder(카트코더)
    1 |     1 |   1 | ko:1                 | other:어거스토
    1 |     1 |   1 | ja:1                 | other:ling社
    1 |     0 |   0 |                      | other:ibm（international business machines corp
    1 |     1 |   1 | vi:1                 | other:quảng ngã
    1 |     1 |   1 | es:1                 | other:pequeña estrella
    1 |     1 |   1 | ko:1                 | other:taviyo
